NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;3;1;1;10028;5710;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
2023;9;1;1;10028;17;1;5103403;51;5
